startTimestamp,title,speaker,sessionType,language,notes
2021-11-19T12:00:00Z,,"Opening ",Panel,English,
2021-11-18T13:00:00Z,Young Adult,Wojtek,Panel,English,
2021-11-18T14:00:00Z,"Why Working the Steps is Important ","Michael J ",Panel,English,
2021-11-18T15:00:00Z,"Group & Fellowship Inventory ",Brendan T & Jon H,Panel,English,
2021-11-18T16:00:00Z,"No Outgrowing My Need For God ",Margot C,Panel,English,
2021-11-18T17:00:00Z,interview with a Long Timer in SA,"Fireside chat, Daniel T ",Panel,English,
2021-11-18T18:00:00Z,interview with a Long Timer in SA,Fireside chat,Panel,English,
2021-11-18T19:00:00Z,Recovery Songs/ Sing Along,"SA Songs,  Ben V, Cathal, Gene T and others",Panel,English,
2021-11-18T20:00:00Z,Carrying the Message to Prisoners,"CFC Committee, Paul Z",Panel,English,
2021-11-18T21:00:00Z,"Carrying the Message to Helping Professionals ",Support for Institutions and Professionals Committee,Panel,English,
2021-11-18T22:00:00Z,Effects of Covid on SA,Rich P,Panel,English,
2021-11-18T23:00:00Z,"Starting A New Meeting ","Jerry W & Gene T ",Panel,English,
2021-11-19T00:00:00Z,Interview with a Convicted Sex Offender,Royce P,Panel,English,
2021-11-19T01:00:00Z,4th Step Resentment Inventory,Dennis T,Panel,English,
2021-11-19T02:00:00Z,Supporting Women in SA,Racquel & Susie & Brian,Panel,English,
2021-11-19T03:00:00Z,SA in India,Manish G,Panel,English,
2021-11-19T04:00:00Z,SA in Iran 7 am,Mohammad,Panel,English,
2021-11-19T05:00:00Z,Young Adult," Young Adult, Kelsey D",Panel,English,
2021-11-19T06:00:00Z,Growth of SA in Sub Saharan Africa Countries,"Sub Saharan Africa Panel, Dan K",Panel,English,
2021-11-19T07:00:00Z,"SA in The Persian Gulf ",Ameer,Panel,English,
2021-11-19T08:00:00Z,"Help For Chronic Relapses ",Pete N,Panel,English,
2021-11-19T09:00:00Z,"Starting a Zoom Meeting & Online Services ",Daniel T & Gene T & Brendan T,Panel,English,
2021-11-19T10:00:00Z,Women in Cairo Recovery/Arabic,Asmaa A,Panel,English,
2021-11-19T11:00:00Z,,"Closing ",Panel,English,
