startTimestamp,title,speaker,sessionType,language,notes
2021-11-18T13:00:00Z,Chinese,Mike M.,Other,Chinese,
2021-11-18T14:00:00Z,French,Martin,Other,French,
2021-11-18T15:00:00Z,Russian,Dima,Other,Russian,
2021-11-18T16:00:00Z,Slovak,Lojzo,Other,Slovak,
2021-11-18T17:00:00Z,Swahili,Mathew,Other,Swahili,
2021-11-18T18:00:00Z,Yiddish,Aron Shulem F.,Other,Yiddish,
2021-11-18T19:00:00Z,Polish,Pawel J,Other,Polish,
2021-11-18T20:00:00Z,German,Josef Z,Other,German,
2021-11-18T21:00:00Z,Spanish,Juan Carlos,Other,Spanish,
2021-11-18T22:00:00Z,Spanish,Juan Carlos,Other,Spanish,
2021-11-18T23:00:00Z,Spanish,Juan Carlos,Other,Spanish,
2021-11-19T00:00:00Z,Spanish,Manuel,Other,Spanish,
2021-11-19T01:00:00Z,Portuguese,Aaron T,Other,Portuguese,
2021-11-19T02:00:00Z,Spanish,Manuel,Other,Spanish,
2021-11-19T03:00:00Z,Farsi,Masoud B,Other,Farsi,
2021-11-19T04:00:00Z,Farsi,Masoud B,Other,Farsi,
2021-11-19T05:00:00Z,Farsi,Masoud B,Other,Farsi,
2021-11-19T06:00:00Z,Hindi,Shipra,Other,Hindi,
2021-11-19T07:00:00Z,Hebrew,Arye,Other,Hebrew,
2021-11-19T08:00:00Z,Arabic,Hesham,Other,Arabic,
2021-11-19T09:00:00Z,Hindi,Animesh D,Other,Hindi,
2021-11-19T10:00:00Z,Italian,Daniele D,Other,Italian,
2021-11-19T11:00:00Z,GRAND FINALE,,Other,GRAND FINALE,
